marca,modelo,ano,cor,placa,chassi,valor_compra,valor_venda,status,observacoes
HONDA,BIZ 110I ,2018/2019,BRANCA,QJP6B71,9C2JC7000KR011119,0,0,Oficina,
YAMAHA ,FZ25 FAZER ,2018/2019,PRETA ,QIY7087,9C6RG5010K0011719,0,0,Oficina,
HONDA ,XRE 300 ABS,2021/2022,CINZA,RKK5J36,9C2ND1120NR006453,0,0,Oficina,
HONDA ,NC 750X ,2022/2022,VERMELHA ,RKT7A42,9C2RC9100NR001147,0,0,Salão,
HONDA,NXR 160 BROSS ESDD,2021/2021,AZUL,RJY3I07,9C2KD0810MR036853,0,0,Oficina,
JTA- SUZUKI,V-STROM650 XT,2017/2018,CINZA,KZH7J80,9CDVP56ATJM100974,0,0,Salão,
YAMAHA ,FZ25 FAZER ,2024/2024,VERMELHA ,SRQ1D24,9C6RG5020R0109241,0,0,Salão,
YAMAHA ,XMAX ,2025/2025,PRETA ,SEM PLACA ,9C6SG8610S0004678,0,0,Vendida,
YAMAHA,NMAX 160,2020/2021,AZUL,RJA2F85,9C6SG5910M0002473,0,0,Vendida,
HONDA,PCX 160 ABS,2025/2025,VERMELHA ,,9C2KF5210SR006184,0,0,Salão,
HONDA ,CB 300 F TWISTTER ,2025/2025,AZUL,TTH8A30,9C2NC6110SN017974,0,0,Vendida,
HONDA ,BIZ 125,2021/2022,BRANCA ,RIS6B06,9C2JC4830NR004093,0,0,Oficina,
YAMAHA ,YBR 150 FACTOR ,2025/2025,VERMELHA,-,9C6RG9910S0013535,0,0,Salão,
YAMAHA ,YBR 150 FACTOR ,2025/2025,PRETA,-,9C6RG9910S0013983,0,0,Salão,
YAMAHA ,FZ 25 FAZER ,2025/2025,CINZA,,9C6RG5040S0025182,0,0,Salão,
YAMAHA ,FZ 25 FAZER ,2025/2025,CINZA,TJJ4I11,9C6RG5040S0025158,0,0,Salão,
YAMAHA ,FZ 25 FAZER ,2025/2025,BRANCA,,9C6RG5040S0020380,0,0,Salão,
YAMAHA,FZ25 FAZER ,2025/2025,BRANCA ,,9C6RG5040S0020384,0,0,Salão,
YAMAHA,FACTOR YBR125 ED,2009/2009,AZUL,LPJ3A27,9C6KE120090017701,0,0,Salão,
YAMAHA ,NEO 125,2024\2024,PRETA,SRQ2B02,9C6SEB520R0069469,0,0,Salão,
YAMAHA ,FZ25 FAZER ,2022/2022,PRETA,RJS4H48,9C6RG5020N0025421,0,0,Oficina,
yamaha,mt03 abs,2024/2025,cinza,ttw-0b46,9c6rh1150s0038783,0,0,Vendida,
HONDA,BIZ 125 ES,2012/2013,VERMELHA,KPH-2356,9C2JC4820DR023701,0,0,Vendida,
YAMAHA,FZ25 FAZER,2025/2025,AZUL,TTI-1F02,9C6RG5040S0010121,0,0,Vendida,
HONDA,PCX 160 DLX ABS,2025/2025,AZUL,TTD-4H03,9C2KF5220SR004055,0,0,Vendida,
HONDA,CB 500F,2022/2023,CINZA,LTY8F05,9C2PC4820PR002175,0,0,Vendida,
YAMAHA,NMAX ,2020/2020,PRETA,RJY7I46,9C6SG3310L0048841,0,0,Vendida,
BMW,F750 GS,2018/2019,AMARELA,LTQ7E21,99Z0B2805KZJ23749,0,0,Vendida,
YAMAHA,FZ25 FAZER ,2025/2025,VERMELHA,TTA2C58,9C6RG5040S0011611,0,0,Vendida,
YAMAHA ,NMAX 160,2020/2020,BRANCA,RJY4B35,9C6SG3310L0054316,0,0,Vendida,
HONDA,XRE 300 ABS,2021/2021,CINZA,FPE9F08,9C2ND1120MR003457,0,0,Vendida,MOTO AINDA NAO ESTA EM LOJA, DOCUMENTAÇÃO PENDENTE (TOTAL DE DOCUMENTAÇÃO 4.085,75)
